Profile Name,StartTime,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Baas1&2,2020-12-02 14:02:40,01:24:21,,Midnight at the Magnolia,,Apple TV 3,01:24:21,01:24:21,NL (Netherlands)
Baas1&2,2020-11-30 17:48:45,01:23:03,,Christmas Wonderland,,Apple TV 3,01:23:03,01:23:03,NL (Netherlands)
Baas1&2,2020-11-28 22:22:35,00:55:01,,A Princess for Christmas,,Apple TV 3,01:26:12,01:26:12,NL (Netherlands)
Baas1&2,2020-11-28 18:12:57,00:31:20,,A Princess for Christmas,,Apple TV 3,00:31:20,Not latest view,NL (Netherlands)
Baas1&2,2020-11-27 17:28:15,00:45:55,,Holidate,,Apple TV 3,01:36:25,01:36:25,NL (Netherlands)
Baas1&2,2020-11-27 15:44:03,00:50:33,,Holidate,,Apple TV 3,00:50:32,Not latest view,NL (Netherlands)
Fabio,2020-11-26 18:46:57,00:00:34,,Eigen kweek: Season 3: Bezig met etwuk (Episode 1),,DefaultWidevineAndroidPhone,00:00:34,00:00:34,NL (Netherlands)
Fabio,2020-11-26 18:17:10,00:29:46,,Eigen kweek: Season 2: The code from a dream from mama (Episode 6),,DefaultWidevineAndroidPhone,00:50:37,00:50:37,NL (Netherlands)
Fabio,2020-11-26 17:11:35,00:19:42,,Eigen kweek: Season 2: The code from a dream from mama (Episode 6),,DefaultWidevineAndroidPhone,00:20:58,Not latest view,NL (Netherlands)
Baas1&2,2020-11-25 15:43:28,01:22:39,,A Cinderella Story: Christmas Wish,,Apple TV 3,01:22:39,01:22:39,NL (Netherlands)
Fabio,2020-11-24 21:01:05,00:01:21,,Eigen kweek: Season 2: The code from a dream from mama (Episode 6),,Chrome PC (Cadmium),00:01:21,Not latest view,NL (Netherlands)
Fabio,2020-11-24 20:14:51,00:45:49,,"Eigen kweek: Season 2: Jos, maak me nu los (Episode 5)",,Chrome PC (Cadmium),00:45:49,00:45:49,NL (Netherlands)
Fabio,2020-11-24 19:30:34,00:44:16,,Eigen kweek: Season 2: Sick from Stockholm (Episode 4),,Chrome PC (Cadmium),00:44:16,00:44:16,NL (Netherlands)
Fabio,2020-11-24 18:43:05,00:43:43,,Eigen kweek: Season 2: Coloradokevers (Episode 3),,Chrome PC (Cadmium),00:43:43,00:43:43,NL (Netherlands)
Fabio,2020-11-24 17:56:41,00:45:28,,Eigen kweek: Season 2: Ut je schuv'n bluv'n (Episode 2),,Chrome PC (Cadmium),00:45:28,00:45:28,NL (Netherlands)
Fabio,2020-11-24 17:53:21,00:03:19,,Eigen kweek: Season 2: Er is daar een mijnheer (Episode 1),,Chrome PC (Cadmium),00:43:29,00:43:29,NL (Netherlands)
Fabio,2020-11-24 17:23:33,00:29:40,,Eigen kweek: Season 2: Er is daar een mijnheer (Episode 1),,Chrome PC (Cadmium),00:40:10,Not latest view,NL (Netherlands)
Fabio,2020-11-24 16:21:17,00:10:30,,Eigen kweek: Season 2: Er is daar een mijnheer (Episode 1),,Chrome PC (Cadmium),00:10:30,Not latest view,NL (Netherlands)
Fabio,2020-11-24 15:43:03,00:38:12,,Eigen kweek: Kerstspecial: Kerstspecial (Episode 1),,Chrome PC (Cadmium),00:50:26,00:50:26,NL (Netherlands)
Fabio,2020-11-24 14:53:31,00:03:17,,Eigen kweek: Kerstspecial: Kerstspecial (Episode 1),,DefaultWidevineAndroidPhone,00:12:14,Not latest view,NL (Netherlands)
